State,RATE,Notes
"National Total",65.4000,1
"Median Value",68.2000,
"Alabama (14)",71.0000,
"Alaska (42)",62.9000,
"Arizona (43)",62.0000,
"Arkansas (35)",66.6000,
"California (48)",55.0000,
"Colorado (39)",64.5000,
"Connecticut (20)",69.0000,
"Delaware (12)",71.5000,
"District of Columbia (51)",40.4000,
"Florida (31)",67.1000,
"Georgia (18)",69.3000,
"Hawaii (50)",50.6000,
"Idaho (13)",71.4000,
"Illinois (25)",68.2000,
"Indiana (4)",74.2000,
"Iowa (9)",72.8000,
"Kansas (30)",67.5000,
"Kentucky (6)",73.2000,
"Louisiana (37)",64.9000,
"Maine (1)",76.5000,
"Maryland (33)",66.9000,
"Massachusetts (45)",61.7000,
"Michigan (5)",73.3000,
"Minnesota (2)",75.4000,
"Mississippi (7)",73.0000,
"Missouri (17)",70.2000,
"Montana (22)",68.6000,
"Nebraska (34)",66.8000,
"Nevada (46)",61.1000,
"New Hampshire (36)",65.0000,
"New Jersey (38)",64.6000,
"New Mexico (31)",67.1000,
"New York (49)",52.7000,
"North Carolina (15)",70.4000,
"North Dakota (25)",68.2000,
"Ohio (19)",69.2000,
"Oklahoma (24)",68.4000,
"Oregon (40)",63.1000,
"Pennsylvania (11)",71.7000,
"Rhode Island (47)",56.6000,
"South Carolina (8)",72.9000,
"South Dakota (29)",67.8000,
"Tennessee (21)",68.8000,
"Texas (44)",61.8000,
"Utah (10)",72.7000,
"Vermont (16)",70.3000,
"Virginia (23)",68.5000,
"Washington (40)",63.1000,
"West Virginia (3)",74.3000,
"Wisconsin (25)",68.2000,
"Wyoming (28)",68.0000,

"Homeownership Rate (State) (1996)"
"Generated from SAGE Stats Database, November 30, 2017"
"Source: U.S. Bureau of the Census, ""Housing Vacancies and Homeownership, Annual Statistics: 1996"" (http://www.census.gov/hhes/www/housing/)"
Notes:
"1. National Rate = 65.4%"
