State,RATE,Notes
"National Total",66.1000,1
"Median Value",69.0000,
"Alabama (9)",72.9000,
"Alaska (43)",64.4000,
"Arizona (39)",66.0000,
"Arkansas (35)",67.6000,
"California (49)",55.3000,
"Colorado (40)",65.9000,
"Connecticut (18)",70.6000,
"Delaware (4)",74.2000,
"District of Columbia (51)",44.8000,
"Florida (26)",69.0000,
"Georgia (38)",66.2000,
"Hawaii (48)",55.4000,
"Idaho (10)",72.4000,
"Illinois (30)",68.4000,
"Indiana (11)",72.1000,
"Iowa (14)",71.2000,
"Kansas (41)",65.4000,
"Kentucky (24)",69.1000,
"Louisiana (19)",70.1000,
"Maine (8)",73.9000,
"Maryland (20)",69.7000,
"Massachusetts (42)",65.3000,
"Michigan (6)",74.1000,
"Minnesota (13)",71.3000,
"Mississippi (2)",74.8000,
"Missouri (15)",71.1000,
"Montana (30)",68.4000,
"Nebraska (27)",68.9000,
"Nevada (47)",56.2000,
"New Hampshire (6)",74.1000,
"New Jersey (36)",66.4000,
"New Mexico (24)",69.1000,
"New York (50)",53.6000,
"North Carolina (32)",68.3000,
"North Dakota (32)",68.3000,
"Ohio (27)",68.9000,
"Oklahoma (21)",69.4000,
"Oregon (36)",66.4000,
"Pennsylvania (15)",71.1000,
"Rhode Island (46)",63.4000,
"South Carolina (4)",74.2000,
"South Dakota (22)",69.3000,
"Tennessee (22)",69.3000,
"Texas (44)",64.3000,
"Utah (12)",71.4000,
"Vermont (3)",74.6000,
"Virginia (34)",67.9000,
"Washington (45)",64.2000,
"West Virginia (1)",78.7000,
"Wisconsin (29)",68.5000,
"Wyoming (15)",71.1000,

"Homeownership Rate (State) (2011)"
"Generated from SAGE Stats Database, November 30, 2017"
"Source: U.S. Bureau of the Census, ""Housing Vacancies and Homeownership, Annual Statistics: 2011"", (http://www.census.gov/housing/hvs/data/ann11ind.html)"
Notes:
"1. National Rate = 66.1%"
