State,RATE,Notes
"National Total",67.8000,1
"Median Value",70.8000,
"Alabama (15)",73.2000,
"Alaska (43)",65.3000,
"Arizona (38)",68.1000,
"Arkansas (23)",71.2000,
"California (48)",58.2000,
"Colorado (35)",68.5000,
"Connecticut (18)",71.8000,
"Delaware (7)",75.4000,
"District of Columbia (51)",42.7000,
"Florida (34)",69.2000,
"Georgia (29)",70.1000,
"Hawaii (49)",55.5000,
"Idaho (19)",71.7000,
"Illinois (33)",69.4000,
"Indiana (8)",75.3000,
"Iowa (2)",76.6000,
"Kansas (28)",70.4000,
"Kentucky (13)",73.9000,
"Louisiana (39)",67.1000,
"Maine (6)",75.5000,
"Maryland (27)",70.7000,
"Massachusetts (46)",60.6000,
"Michigan (1)",77.1000,
"Minnesota (4)",76.1000,
"Mississippi (10)",74.5000,
"Missouri (12)",74.0000,
"Montana (37)",68.3000,
"Nebraska (29)",70.1000,
"Nevada (44)",64.6000,
"New Hampshire (36)",68.4000,
"New Jersey (40)",66.5000,
"New Mexico (26)",70.8000,
"New York (50)",53.9000,
"North Carolina (22)",71.3000,
"North Dakota (25)",71.0000,
"Ohio (23)",71.2000,
"Oklahoma (20)",71.5000,
"Oregon (42)",65.8000,
"Pennsylvania (11)",74.3000,
"Rhode Island (47)",60.1000,
"South Carolina (4)",76.1000,
"South Dakota (20)",71.5000,
"Tennessee (32)",69.7000,
"Texas (45)",63.9000,
"Utah (16)",72.4000,
"Vermont (31)",69.8000,
"Virginia (9)",75.1000,
"Washington (41)",66.4000,
"West Virginia (3)",76.4000,
"Wisconsin (17)",72.3000,
"Wyoming (14)",73.5000,

"Homeownership Rate (State) (2001)"
"Generated from SAGE Stats Database, November 30, 2017"
"Source: U.S. Bureau of the Census, ""Housing Vacancies and Homeownership, Annual Statistics: 2001"", (http://www.census.gov/hhes/www/housing/hvs/annual01/ann01t13.html)"
Notes:
"1. National Rate = 67.8%"
