State,RATE,Notes
"National Total",67.9000,1
"Median Value",70.2000,
"Alabama (13)",73.5000,
"Alaska (38)",67.3000,
"Arizona (43)",65.9000,
"Arkansas (25)",70.2000,
"California (48)",58.0000,
"Colorado (35)",69.1000,
"Connecticut (22)",71.6000,
"Delaware (5)",75.6000,
"District of Columbia (51)",44.1000,
"Florida (36)",68.7000,
"Georgia (21)",71.7000,
"Hawaii (49)",57.4000,
"Idaho (15)",73.0000,
"Illinois (25)",70.2000,
"Indiana (6)",75.0000,
"Iowa (11)",73.9000,
"Kansas (25)",70.2000,
"Kentucky (13)",73.5000,
"Louisiana (40)",67.1000,
"Maine (11)",73.9000,
"Maryland (18)",72.0000,
"Massachusetts (46)",62.7000,
"Michigan (4)",76.0000,
"Minnesota (1)",77.3000,
"Mississippi (7)",74.8000,
"Missouri (8)",74.6000,
"Montana (34)",69.3000,
"Nebraska (37)",68.4000,
"Nevada (44)",65.5000,
"New Hampshire (31)",69.5000,
"New Jersey (39)",67.2000,
"New Mexico (24)",70.3000,
"New York (50)",55.0000,
"North Carolina (30)",70.0000,
"North Dakota (31)",69.5000,
"Ohio (18)",72.0000,
"Oklahoma (33)",69.4000,
"Oregon (42)",66.2000,
"Pennsylvania (10)",74.0000,
"Rhode Island (47)",59.6000,
"South Carolina (1)",77.3000,
"South Dakota (23)",71.5000,
"Tennessee (29)",70.1000,
"Texas (45)",63.8000,
"Utah (17)",72.7000,
"Vermont (25)",70.2000,
"Virginia (9)",74.3000,
"Washington (41)",67.0000,
"West Virginia (3)",77.0000,
"Wisconsin (18)",72.0000,
"Wyoming (16)",72.8000,

"Homeownership Rate (State) (2002)"
"Generated from SAGE Stats Database, November 30, 2017"
"Source: U.S. Bureau of the Census, ""Housing Vacancies and Homeownership, Annual Statistics: 2002"", (http://www.census.gov/hhes/www/housing/hvs/annual02/ann02t13.html)"
Notes:
"1. National Rate = 67.9%"
