State,RATE,Notes
"National Total",64.5000,1
"Median Value",66.8000,
"Alabama (10)",70.5000,
"Alaska (48)",56.0000,
"Arizona (13)",69.6000,
"Arkansas (8)",70.8000,
"California (46)",56.8000,
"Colorado (41)",62.3000,
"Connecticut (36)",65.0000,
"Delaware (1)",74.4000,
"District of Columbia (51)",36.4000,
"Florida (30)",66.0000,
"Georgia (26)",66.8000,
"Hawaii (50)",53.2000,
"Idaho (4)",72.5000,
"Illinois (41)",62.3000,
"Indiana (18)",69.0000,
"Iowa (22)",68.6000,
"Kansas (16)",69.3000,
"Kentucky (18)",69.0000,
"Louisiana (32)",65.8000,
"Maine (6)",72.1000,
"Maryland (32)",65.8000,
"Massachusetts (43)",61.2000,
"Michigan (3)",72.6000,
"Minnesota (28)",66.2000,
"Mississippi (12)",69.9000,
"Missouri (26)",66.8000,
"Montana (11)",70.0000,
"Nebraska (24)",68.0000,
"Nevada (47)",56.2000,
"New Hampshire (34)",65.7000,
"New Jersey (35)",65.2000,
"New Mexico (14)",69.5000,
"New York (49)",53.5000,
"North Carolina (17)",69.1000,
"North Dakota (40)",63.1000,
"Ohio (20)",68.8000,
"Oklahoma (9)",70.7000,
"Oregon (38)",64.1000,
"Pennsylvania (5)",72.3000,
"Rhode Island (45)",58.1000,
"South Carolina (7)",71.4000,
"South Dakota (29)",66.1000,
"Tennessee (37)",64.4000,
"Texas (44)",59.3000,
"Utah (15)",69.4000,
"Vermont (23)",68.5000,
"Virginia (20)",68.8000,
"Washington (39)",63.5000,
"West Virginia (2)",73.6000,
"Wisconsin (30)",66.0000,
"Wyoming (25)",67.6000,

"Homeownership Rate (State) (1993)"
"Generated from SAGE Stats Database, November 30, 2017"
"Source: U.S. Bureau of the Census, ""Housing Vacancies and Homeownership, Annual Statistics: 1993"" (Current Housing Reports, H111/93-A, May 1994)"
Notes:
"1. National Rate = 64.5%"
