State,RATE,Notes
"National Total",65.1000,1
"Median Value",67.8000,
"Alabama (9)",72.7000,
"Alaska (39)",64.6000,
"Arizona (37)",65.1000,
"Arkansas (35)",65.4000,
"California (49)",54.3000,
"Colorado (40)",64.4000,
"Connecticut (19)",68.5000,
"Delaware (3)",74.1000,
"District of Columbia (51)",44.6000,
"Florida (34)",66.1000,
"Georgia (41)",64.2000,
"Hawaii (47)",57.3000,
"Idaho (12)",71.5000,
"Illinois (31)",67.2000,
"Indiana (11)",71.7000,
"Iowa (18)",69.8000,
"Kansas (43)",63.5000,
"Kentucky (27)",67.5000,
"Louisiana (25)",67.8000,
"Maine (6)",73.5000,
"Maryland (32)",66.9000,
"Massachusetts (36)",65.3000,
"Michigan (5)",73.9000,
"Minnesota (7)",73.4000,
"Mississippi (2)",74.2000,
"Missouri (14)",71.3000,
"Montana (28)",67.4000,
"Nebraska (21)",68.2000,
"Nevada (48)",56.0000,
"New Hampshire (3)",74.1000,
"New Jersey (38)",64.9000,
"New Mexico (29)",67.3000,
"New York (50)",53.0000,
"North Carolina (29)",67.3000,
"North Dakota (23)",68.0000,
"Ohio (24)",67.9000,
"Oklahoma (17)",69.9000,
"Oregon (41)",64.2000,
"Pennsylvania (12)",71.5000,
"Rhode Island (46)",61.5000,
"South Carolina (10)",72.4000,
"South Dakota (25)",67.8000,
"Tennessee (33)",66.8000,
"Texas (44)",63.3000,
"Utah (15)",70.9000,
"Vermont (8)",73.0000,
"Virginia (22)",68.1000,
"Washington (45)",62.7000,
"West Virginia (1)",76.8000,
"Wisconsin (19)",68.5000,
"Wyoming (16)",70.5000,

"Homeownership Rate (State) (2013)"
"Generated from SAGE Stats Database, November 30, 2017"
"Source: U.S. Bureau of the Census, ""Housing Vacancies and Homeownership, Annual Statistics: 2013"" (http://www.census.gov/housing/hvs/data/ann13ind.html)"
Notes:
"1. National Rate = 65.1%"
